path,breed,split
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_13420.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_7770.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_475.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_8033.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_13939.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_13221.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_7612.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_12077.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_12227.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_12070.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_13499.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_2416.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_10147.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_8519.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_3286.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_11853.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_7680.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_11422.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_233.jpg,affenpinscher,train
